Crack speed,Decomp. factor,Speed factor,Support factor,Outflow Length,Flaring (deltaD/D),Crack driving force components,Normalised total,
0.02,0.144388,0.712597,3.90902,2.54788,   ,1.3073,0.901792,
0.04,0.154108,0.819324,6.60542,3.01327,   ,1.57923,1.08937,
0.06,0.164063,0.882866,8.42982,3.24228,   ,1.80877,1.24771,
0.08,0.174256,0.933713,9.78923,3.40283,   ,2.04877,1.41327,
0.1,0.184693,0.991633,11.3594,3.57,   ,2.3506,1.62147,
0.12,0.195378,1.04923,12.7911,3.71188,   ,2.68919,1.85503,
0.14,0.206316,1.17744,17.9934,3.93219,   ,3.08768,2.12992,
0.16,0.217513,1.2557,20.4339,4.07417,   ,3.54259,2.44372,
0.18,0.228974,1.3341,22.6707,4.19532,   ,4.04073,2.78734,
0.2,0.240703,1.41368,24.7366,4.30093,   ,4.58834,3.16509,
0.22,0.252706,1.49805,26.8755,4.40474,   ,5.21433,3.59691,
0.24,0.264988,1.58263,28.7615,4.49264,   ,5.89167,4.06415,
0.26,0.277554,1.66751,30.4008,4.56705,   ,6.62303,4.56865,
0.28,0.290411,1.75242,31.7827,4.62869,   ,7.40713,5.10953,
0.3,0.303563,1.85054,33.8794,4.71744,   ,8.38236,5.78225,
0.32,0.317016,1.94001,35.1081,4.77002,   ,9.33755,6.44116,
0.34,0.330776,2.02892,36.0806,4.81225,   ,10.3494,7.13911,
0.36,0.344849,2.12397,37.2885,4.86282,   ,11.5022,7.93436,
0.38,0.35924,2.22894,38.9945,4.93074,   ,12.8617,8.87217,
0.4,0.373956,2.33424,40.5308,5.00852,   ,14.4895,9.995,
0.42,0.389003,2.39086,38.64,4.92934,   ,15.089,10.4086,
0.44,0.404387,2.47153,38.3137,4.92336,   ,16.2483,11.2083,
0.46,0.420113,2.55103,37.8548,4.91239,   ,17.4077,12.008,
0.48,0.436189,2.62913,37.271,4.89657,   ,18.547,12.7939,
0.5,0.452621,2.68251,35.3381,4.85945,   ,19.744,13.6197,
0.52,0.469416,2.75373,34.4205,4.83248,   ,20.734,14.3025,
0.54,0.48658,2.85796,35.1141,4.8692,   ,22.0675,15.2224,
0.56,0.504119,2.95971,35.5985,4.85419,   ,22.3781,15.4367,
0.58,0.522041,3.02775,34.4448,4.81364,   ,22.7251,15.6761,
0.6,0.540353,3.04751,31.3071,4.74182,   ,23.5047,16.2138,
0.62,0.559061,3.5922,53.642,5.47015,   ,0,0,
0.64,0.578173,3.70776,54.1579,5.43148,   ,0,0,
0.66,0.597696,3.87102,57.358,5.39138,   ,0,0,
0.68,0.617638,3.97322,56.8641,5.38635,   ,0,0,
0.7,0.638005,4.05718,55.3365,5.32977,   ,0,0,
0.72,0.658805,4.11822,52.6786,5.26947,   ,0,0,
0.74,0.680047,4.1669,49.6077,5.20738,   ,0,0,
0.76,0.701737,4.22415,47.1565,5.14247,   ,0,0,
0.78,0.723884,4.18348,40.9059,5.09251,   ,0,0,
0.8,0.746495,4.25973,39.7146,5.02202,   ,0,0,
0.82,0.769579,4.33742,38.623,4.9457,   ,0,0,
0.84,0.793144,4.27919,33.1556,4.95019,   ,0,0,
0.86,0.817199,4.28314,30.201,4.89959,   ,0,0,
0.88,0.841751,4.29657,27.7948,4.8467,   ,0,0,
0.9,0.866809,4.55228,31.8807,4.65837,   ,0,0,
0.92,0.892382,4.59092,30.0574,4.57297,   ,0,0,
0.94,0.918478,4.3865,22.8641,4.66041,   ,0,0,
0.96,0.945108,4.51215,23.3944,4.52084,   ,0,0,
0.98,0.972278,4.80325,27.4897,4.67981,   ,0,0,
1,1,5.14922,33.2647,4.9233,   ,0,0,
